date,division,games_played,isWinner,losses,pct,team_name,team_short_name,wins
2010-04-04,American League East,1,False,1,.000,New York Yankees,NY Yankees,0
2010-04-06,American League East,1,True,0,1.000,Tampa Bay Rays,Tampa Bay,1
2010-04-06,American League East,1,False,1,.000,Baltimore Orioles,Baltimore,0
2010-04-05,American League West,1,False,1,.000,Oakland Athletics,Oakland,0
2010-04-05,American League West,1,True,0,1.000,Seattle Mariners,Seattle,1
2010-04-05,American League West,1,True,0,1.000,Los Angeles Angels,LA Angels,1
2010-04-05,American League Central,1,False,1,.000,Minnesota Twins,Minnesota,0
2010-04-05,National League West,1,True,0,1.000,San Francisco Giants,San Francisco,1
2010-04-05,National League West,1,True,0,1.000,Arizona Diamondbacks,Arizona,1
2010-04-05,National League West,1,False,1,.000,San Diego Padres,San Diego,0
2010-04-05,American League Central,1,False,1,.000,Kansas City Royals,Kansas City,0
2010-04-05,American League Central,1,True,0,1.000,Detroit Tigers,Detroit,1
2010-04-05,National League East,1,True,0,1.000,Atlanta Braves,Atlanta,1
2010-04-05,National League Central,1,False,1,.000,Chicago Cubs,Chi Cubs,0
2010-04-05,National League Central,1,False,1,.000,Milwaukee Brewers,Milwaukee,0
2010-04-05,American League West,1,False,1,.000,Houston Astros,Houston,0
2010-04-05,American League West,1,True,0,1.000,Texas Rangers,Texas,1
2010-04-05,National League West,1,True,0,1.000,Colorado Rockies,Colorado,1
2010-04-04,American League East,1,True,0,1.000,Boston Red Sox,Boston,1
2010-04-05,National League East,1,True,0,1.000,Philadelphia Phillies,Philadelphia,1
2010-04-05,National League East,1,False,1,.000,Washington Nationals,Washington,0
2010-04-05,National League East,1,True,0,1.000,New York Mets,NY Mets,1
2010-04-05,National League Central,1,True,0,1.000,St. Louis Cardinals,St. Louis,1
2010-04-05,National League East,1,False,1,.000,Florida Marlins,Miami,0
2010-04-05,National League Central,1,False,1,.000,Cincinnati Reds,Cincinnati,0
2010-04-05,National League West,1,False,1,.000,Los Angeles Dodgers,LA Dodgers,0
2010-04-05,National League Central,1,True,0,1.000,Pittsburgh Pirates,Pittsburgh,1
2010-04-05,American League Central,1,False,1,.000,Cleveland Indians,Cleveland,0
2010-04-05,American League Central,1,True,0,1.000,Chicago White Sox,Chi White Sox,1
2010-04-05,American League East,1,False,1,.000,Toronto Blue Jays,Toronto,0
2010-04-07,National League East,2,True,1,.500,Florida Marlins,Miami,1
2010-04-07,American League East,2,False,2,.000,Baltimore Orioles,Baltimore,0
2010-04-07,American League East,2,True,0,1.000,Tampa Bay Rays,Tampa Bay,2
2010-04-07,National League Central,2,False,2,.000,Chicago Cubs,Chi Cubs,0
2010-04-07,National League East,2,True,0,1.000,Atlanta Braves,Atlanta,2
2010-04-07,National League East,2,False,2,.000,Washington Nationals,Washington,0
2010-04-07,National League East,2,False,1,.500,New York Mets,NY Mets,1
2010-04-07,American League Central,2,False,1,.500,Detroit Tigers,Detroit,1
2010-04-07,National League Central,2,False,2,.000,Cincinnati Reds,Cincinnati,0
2010-04-07,American League East,2,True,1,.500,Toronto Blue Jays,Toronto,1
2010-04-07,American League West,2,False,1,.500,Texas Rangers,Texas,1
2010-04-07,American League Central,2,True,1,.500,Cleveland Indians,Cleveland,1
2010-04-07,American League Central,2,False,1,.500,Chicago White Sox,Chi White Sox,1
2010-04-07,American League Central,2,True,1,.500,Kansas City Royals,Kansas City,1
2010-04-07,National League East,2,True,0,1.000,Philadelphia Phillies,Philadelphia,2
2010-04-07,National League Central,2,True,0,1.000,St. Louis Cardinals,St. Louis,2
2010-04-07,National League Central,2,True,0,1.000,Pittsburgh Pirates,Pittsburgh,2
2010-04-06,National League West,2,False,1,.500,Arizona Diamondbacks,Arizona,1
2010-04-06,National League West,2,False,1,.500,Colorado Rockies,Colorado,1
2010-04-06,National League West,2,True,0,1.000,San Francisco Giants,San Francisco,2
2010-04-06,American League West,2,False,2,.000,Houston Astros,Houston,0
2010-04-07,National League West,2,False,2,.000,Los Angeles Dodgers,LA Dodgers,0
2010-04-06,National League Central,2,True,1,.500,Milwaukee Brewers,Milwaukee,1
2010-04-06,National League West,2,True,1,.500,San Diego Padres,San Diego,1
2010-04-06,American League East,2,False,1,.500,Boston Red Sox,Boston,1
2010-04-06,American League East,2,True,1,.500,New York Yankees,NY Yankees,1
2010-04-06,American League West,2,False,1,.500,Los Angeles Angels,LA Angels,1
2010-04-06,American League West,2,False,1,.500,Seattle Mariners,Seattle,1
2010-04-06,American League West,2,True,1,.500,Oakland Athletics,Oakland,1
2010-04-06,American League Central,2,True,1,.500,Minnesota Twins,Minnesota,1
2010-04-08,National League East,3,True,2,.333,Washington Nationals,Washington,1
2010-04-08,American League East,3,True,2,.333,Baltimore Orioles,Baltimore,1
2010-04-08,American League Central,3,False,2,.333,Kansas City Royals,Kansas City,1
2010-04-08,American League Central,3,True,1,.667,Detroit Tigers,Detroit,2
2010-04-08,American League West,3,False,2,.333,Texas Rangers,Texas,1
2010-04-08,National League East,3,False,1,.667,Philadelphia Phillies,Philadelphia,2
2010-04-08,National League East,3,True,1,.667,Florida Marlins,Miami,2
2010-04-08,American League East,3,True,1,.667,Toronto Blue Jays,Toronto,2
2010-04-08,National League Central,3,True,2,.333,Chicago Cubs,Chi Cubs,1
2010-04-08,National League East,3,False,1,.667,Atlanta Braves,Atlanta,2
2010-04-08,American League Central,3,False,2,.333,Chicago White Sox,Chi White Sox,1
2010-04-08,American League Central,3,True,1,.667,Cleveland Indians,Cleveland,2
2010-04-08,National League East,3,False,2,.333,New York Mets,NY Mets,1
2010-04-08,American League East,3,False,1,.667,Tampa Bay Rays,Tampa Bay,2
2010-04-08,National League Central,3,True,2,.333,Cincinnati Reds,Cincinnati,1
2010-04-07,National League West,3,True,1,.667,Arizona Diamondbacks,Arizona,2
2010-04-08,National League Central,3,False,1,.667,Pittsburgh Pirates,Pittsburgh,2
2010-04-07,National League West,3,False,2,.333,Colorado Rockies,Colorado,1
2010-04-07,National League Central,3,True,1,.667,Milwaukee Brewers,Milwaukee,2
2010-04-07,American League West,3,False,3,.000,Houston Astros,Houston,0
2010-04-07,American League East,3,True,1,.667,New York Yankees,NY Yankees,2
2010-04-07,American League East,3,False,2,.333,Boston Red Sox,Boston,1
2010-04-07,National League West,3,False,2,.333,San Diego Padres,San Diego,1
2010-04-07,National League West,3,True,0,1.000,San Francisco Giants,San Francisco,3
2010-04-08,National League Central,3,False,1,.667,St. Louis Cardinals,St. Louis,2
2010-04-07,American League West,3,False,2,.333,Los Angeles Angels,LA Angels,1
2010-04-07,American League West,3,False,2,.333,Seattle Mariners,Seattle,1
2010-04-07,American League West,3,True,1,.667,Oakland Athletics,Oakland,2
2010-04-08,National League West,3,True,2,.333,Los Angeles Dodgers,LA Dodgers,1
2010-04-07,American League Central,3,True,1,.667,Minnesota Twins,Minnesota,2
2010-04-09,National League East,4,True,2,.500,New York Mets,NY Mets,2
2010-04-09,National League Central,4,False,3,.250,Chicago Cubs,Chi Cubs,1
2010-04-09,National League Central,4,True,2,.500,Cincinnati Reds,Cincinnati,2
2010-04-09,National League East,4,True,1,.750,Philadelphia Phillies,Philadelphia,3
2010-04-09,American League West,4,False,4,.000,Houston Astros,Houston,0
2010-04-09,American League West,4,True,2,.500,Texas Rangers,Texas,2
2010-04-09,American League Central,4,True,2,.500,Kansas City Royals,Kansas City,2
2010-04-09,National League Central,4,True,1,.750,St. Louis Cardinals,St. Louis,3
2010-04-09,American League East,4,False,3,.250,Boston Red Sox,Boston,1
2010-04-09,National League East,4,False,3,.250,Washington Nationals,Washington,1
2010-04-09,National League West,4,True,1,.750,Arizona Diamondbacks,Arizona,3
2010-04-09,National League Central,4,False,2,.500,Pittsburgh Pirates,Pittsburgh,2
2010-04-09,American League Central,4,False,3,.250,Chicago White Sox,Chi White Sox,1
2010-04-09,National League Central,4,False,2,.500,Milwaukee Brewers,Milwaukee,2
2010-04-09,American League East,4,True,1,.750,Tampa Bay Rays,Tampa Bay,3
2010-04-09,National League East,4,False,2,.500,Florida Marlins,Miami,2
2010-04-08,American League West,4,False,3,.250,Seattle Mariners,Seattle,1
2010-04-08,American League West,4,True,1,.750,Oakland Athletics,Oakland,3
2010-04-09,American League East,4,False,2,.500,New York Yankees,NY Yankees,2
2010-04-08,American League Central,4,True,1,.750,Minnesota Twins,Minnesota,3
2010-04-08,American League West,4,False,3,.250,Los Angeles Angels,LA Angels,1
2010-04-09,American League Central,4,False,2,.500,Cleveland Indians,Cleveland,2
2010-04-09,American League East,4,True,1,.750,Toronto Blue Jays,Toronto,3
2010-04-09,American League Central,4,True,1,.750,Detroit Tigers,Detroit,3
2010-04-09,American League East,4,False,3,.250,Baltimore Orioles,Baltimore,1
2010-04-09,National League West,4,False,3,.250,San Diego Padres,San Diego,1
2010-04-09,National League West,4,True,2,.500,Colorado Rockies,Colorado,2
2010-04-09,National League East,4,False,2,.500,Atlanta Braves,Atlanta,2
2010-04-09,National League West,4,True,0,1.000,San Francisco Giants,San Francisco,4
2010-04-09,National League West,4,True,2,.500,Los Angeles Dodgers,LA Dodgers,2
2010-04-10,American League West,5,False,5,.000,Houston Astros,Houston,0
2010-04-10,American League Central,5,False,3,.400,Kansas City Royals,Kansas City,2
2010-04-10,American League East,5,True,1,.800,Toronto Blue Jays,Toronto,4
2010-04-10,American League East,5,False,4,.200,Baltimore Orioles,Baltimore,1
2010-04-10,National League East,5,True,1,.800,Philadelphia Phillies,Philadelphia,4
2010-04-10,National League West,5,False,3,.400,Los Angeles Dodgers,LA Dodgers,2
2010-04-10,National League Central,5,False,3,.400,Milwaukee Brewers,Milwaukee,2
2010-04-10,National League Central,5,True,2,.600,Pittsburgh Pirates,Pittsburgh,3
2010-04-10,National League West,5,False,2,.600,Arizona Diamondbacks,Arizona,3
2010-04-10,National League West,5,True,3,.400,San Diego Padres,San Diego,2
2010-04-10,National League West,5,False,3,.400,Colorado Rockies,Colorado,2
2010-04-10,National League East,5,True,2,.600,Atlanta Braves,Atlanta,3
