date,division,games_played,isWinner,losses,pct,team_name,team_short_name,wins
1997-04-01,American League Central,1,True,0,1.000,Chicago White Sox,Chi White Sox,1
1997-04-02,American League Central,1,True,0,1.000,Cleveland Indians,Cleveland,1
1997-04-02,American League West,1,False,1,.000,Anaheim Angels,LA Angels,0
1997-04-02,American League East,1,True,0,1.000,Boston Red Sox,Boston,1
1997-04-02,American League East,1,True,0,1.000,Baltimore Orioles,Baltimore,1
1997-04-02,American League Central,1,False,1,.000,Kansas City Royals,Kansas City,0
1997-04-01,American League West,1,True,0,1.000,Seattle Mariners,Seattle,1
1997-04-02,American League West,1,False,1,.000,Oakland Athletics,Oakland,0
1997-04-01,American League Central,1,True,0,1.000,Minnesota Twins,Minnesota,1
1997-04-01,American League Central,1,False,1,.000,Detroit Tigers,Detroit,0
1997-04-01,American League West,1,True,0,1.000,Houston Astros,Houston,1
1997-04-01,National League East,1,False,1,.000,Atlanta Braves,Atlanta,0
1997-04-01,National League East,1,True,0,1.000,Montreal Expos,Washington,1
1997-04-01,National League Central,1,False,1,.000,St. Louis Cardinals,St. Louis,0
1997-04-01,American League East,1,False,1,.000,New York Yankees,NY Yankees,0
1997-04-01,National League Central,1,True,0,1.000,Pittsburgh Pirates,Pittsburgh,1
1997-04-01,National League West,1,False,1,.000,San Francisco Giants,San Francisco,0
1997-04-01,National League East,1,True,0,1.000,Florida Marlins,Miami,1
1997-04-01,National League Central,1,False,1,.000,Chicago Cubs,Chi Cubs,0
1997-04-01,American League East,1,False,1,.000,Toronto Blue Jays,Toronto,0
1997-04-01,National League Central,1,True,0,1.000,Cincinnati Reds,Cincinnati,1
1997-04-01,National League West,1,False,1,.000,Colorado Rockies,Colorado,0
1997-04-01,American League West,1,True,0,1.000,Texas Rangers,Texas,1
1997-04-01,National League East,1,False,1,.000,New York Mets,NY Mets,0
1997-04-01,National League West,1,True,0,1.000,San Diego Padres,San Diego,1
1997-04-01,National League East,1,True,0,1.000,Philadelphia Phillies,Philadelphia,1
1997-04-01,National League West,1,False,1,.000,Los Angeles Dodgers,LA Dodgers,0
1997-04-01,National League Central,1,False,1,.000,Milwaukee Brewers,Milwaukee,0
1997-04-02,National League West,2,True,1,.500,Los Angeles Dodgers,LA Dodgers,1
1997-04-02,National League West,2,True,0,1.000,San Diego Padres,San Diego,2
1997-04-02,National League East,2,False,1,.500,Philadelphia Phillies,Philadelphia,1
1997-04-03,American League Central,2,False,1,.500,Cleveland Indians,Cleveland,1
1997-04-03,American League West,2,True,1,.500,Anaheim Angels,LA Angels,1
1997-04-03,American League Central,2,False,2,.000,Kansas City Royals,Kansas City,0
1997-04-03,American League East,2,True,0,1.000,Baltimore Orioles,Baltimore,2
1997-04-03,American League East,2,False,1,.500,Boston Red Sox,Boston,1
1997-04-03,National League Central,2,False,1,.500,Pittsburgh Pirates,Pittsburgh,1
1997-04-03,National League West,2,True,1,.500,San Francisco Giants,San Francisco,1
1997-04-04,American League West,2,False,1,.500,Texas Rangers,Texas,1
1997-04-03,American League West,2,True,1,.500,Oakland Athletics,Oakland,1
1997-04-02,National League East,2,False,2,.000,New York Mets,NY Mets,0
1997-04-04,National League Central,2,False,2,.000,Milwaukee Brewers,Milwaukee,0
1997-04-02,American League East,2,True,1,.500,New York Yankees,NY Yankees,1
1997-04-02,American League Central,2,False,1,.500,Chicago White Sox,Chi White Sox,1
1997-04-02,American League East,2,True,1,.500,Toronto Blue Jays,Toronto,1
1997-04-02,National League Central,2,False,2,.000,Chicago Cubs,Chi Cubs,0
1997-04-02,National League East,2,True,0,1.000,Florida Marlins,Miami,2
1997-04-02,National League West,2,False,2,.000,Colorado Rockies,Colorado,0
1997-04-02,National League Central,2,True,0,1.000,Cincinnati Reds,Cincinnati,2
1997-04-02,National League Central,2,False,2,.000,St. Louis Cardinals,St. Louis,0
1997-04-02,American League West,2,False,1,.500,Seattle Mariners,Seattle,1
1997-04-02,American League West,2,True,0,1.000,Houston Astros,Houston,2
1997-04-02,National League East,2,False,2,.000,Atlanta Braves,Atlanta,0
1997-04-02,American League Central,2,True,0,1.000,Minnesota Twins,Minnesota,2
1997-04-02,National League East,2,True,0,1.000,Montreal Expos,Washington,2
