date,division,games_played,isWinner,losses,pct,team_name,team_short_name,wins
1985-04-08,American League East,1,False,1,.000,Cleveland Indians,Cleveland,0
1985-04-09,American League West,1,True,0,1.000,Seattle Mariners,Seattle,1
1985-04-09,American League West,1,False,1,.000,Oakland Athletics,Oakland,0
1985-04-09,American League West,1,False,1,.000,California Angels,California,0
1985-04-09,American League West,1,True,0,1.000,Minnesota Twins,Minnesota,1
1985-04-09,National League West,1,True,0,1.000,Houston Astros,Houston,1
1985-04-09,National League West,1,False,1,.000,Los Angeles Dodgers,Los Angeles,0
1985-04-09,National League West,1,True,0,1.000,Atlanta Braves,Atlanta,1
1985-04-09,National League East,1,True,0,1.000,New York Mets,NY Mets,1
1985-04-09,National League East,1,False,1,.000,St. Louis Cardinals,St. Louis,0
1985-04-09,National League West,1,True,0,1.000,San Francisco Giants,San Francisco,1
1985-04-09,National League West,1,False,1,.000,San Diego Padres,San Diego,0
1985-04-09,National League East,1,True,0,1.000,Chicago Cubs,Chi Cubs,1
1985-04-09,National League East,1,False,1,.000,Philadelphia Phillies,Philadelphia,0
1985-04-09,American League East,1,False,1,.000,Milwaukee Brewers,Milwaukee,0
1985-04-09,National League East,1,False,1,.000,Pittsburgh Pirates,Pittsburgh,0
1985-04-08,American League East,1,True,0,1.000,Detroit Tigers,Detroit,1
1985-04-08,National League East,1,False,1,.000,Montreal Expos,Montreal,0
1985-04-08,National League West,1,True,0,1.000,Cincinnati Reds,Cincinnati,1
1985-04-08,American League East,1,True,0,1.000,Boston Red Sox,Boston,1
1985-04-08,American League East,1,False,1,.000,New York Yankees,NY Yankees,0
1985-04-08,American League East,1,True,0,1.000,Baltimore Orioles,Baltimore,1
1985-04-08,American League East,1,False,1,.000,Toronto Blue Jays,Toronto,0
1985-04-08,American League West,1,True,0,1.000,Kansas City Royals,Kansas City,1
1985-04-09,American League West,1,True,0,1.000,Chicago White Sox,Chi White Sox,1
1985-04-08,American League West,1,False,1,.000,Texas Rangers,Texas,0
1985-04-10,American League West,2,False,2,.000,California Angels,California,0
1985-04-11,National League East,2,False,2,.000,Pittsburgh Pirates,Pittsburgh,0
1985-04-10,American League West,2,False,2,.000,Oakland Athletics,Oakland,0
1985-04-10,American League West,2,True,0,1.000,Seattle Mariners,Seattle,2
1985-04-11,National League East,2,True,0,1.000,Chicago Cubs,Chi Cubs,2
1985-04-11,American League East,2,True,1,.500,Milwaukee Brewers,Milwaukee,1
1985-04-11,National League East,2,True,0,1.000,New York Mets,NY Mets,2
1985-04-11,National League West,2,True,0,1.000,Atlanta Braves,Atlanta,2
1985-04-11,National League East,2,False,2,.000,Philadelphia Phillies,Philadelphia,0
1985-04-11,American League West,2,False,1,.500,Chicago White Sox,Chi White Sox,1
1985-04-10,American League West,2,True,0,1.000,Minnesota Twins,Minnesota,2
1985-04-11,National League East,2,False,2,.000,St. Louis Cardinals,St. Louis,0
1985-04-10,American League West,2,False,1,.500,Kansas City Royals,Kansas City,1
1985-04-10,National League West,2,True,1,.500,San Diego Padres,San Diego,1
1985-04-10,National League West,2,False,1,.500,Houston Astros,Houston,1
1985-04-10,American League East,2,False,2,.000,Cleveland Indians,Cleveland,0
1985-04-10,American League East,2,True,0,1.000,Detroit Tigers,Detroit,2
1985-04-10,National League East,2,True,1,.500,Montreal Expos,Montreal,1
1985-04-10,National League West,2,False,1,.500,Cincinnati Reds,Cincinnati,1
1985-04-10,American League East,2,False,2,.000,New York Yankees,NY Yankees,0
1985-04-10,American League East,2,True,1,.500,Toronto Blue Jays,Toronto,1
1985-04-10,National League West,2,False,1,.500,San Francisco Giants,San Francisco,1
1985-04-10,American League East,2,True,0,1.000,Boston Red Sox,Boston,2
1985-04-10,American League West,2,False,2,.000,Texas Rangers,Texas,0
1985-04-10,American League East,2,True,0,1.000,Baltimore Orioles,Baltimore,2
1985-04-10,National League West,2,True,1,.500,Los Angeles Dodgers,Los Angeles,1
1985-04-12,National League East,3,True,2,.333,Pittsburgh Pirates,Pittsburgh,1
1985-04-12,American League East,3,True,1,.667,Milwaukee Brewers,Milwaukee,2
1985-04-12,National League West,3,True,1,.667,San Francisco Giants,San Francisco,2
1985-04-12,American League West,3,False,3,.000,Texas Rangers,Texas,0
1985-04-12,National League East,3,False,3,.000,Philadelphia Phillies,Philadelphia,0
1985-04-13,American League West,3,False,2,.333,Chicago White Sox,Chi White Sox,1
1985-04-12,National League East,3,False,3,.000,St. Louis Cardinals,St. Louis,0
1985-04-12,National League West,3,False,1,.667,Atlanta Braves,Atlanta,2
1985-04-12,National League West,3,True,1,.667,San Diego Padres,San Diego,2
1985-04-12,National League East,3,True,0,1.000,New York Mets,NY Mets,3
1985-04-12,National League West,3,False,2,.333,Cincinnati Reds,Cincinnati,1
1985-04-12,American League East,3,True,0,1.000,Baltimore Orioles,Baltimore,3
1985-04-12,National League East,3,False,1,.667,Chicago Cubs,Chi Cubs,2
1985-04-11,American League East,3,True,1,.667,Toronto Blue Jays,Toronto,2
1985-04-11,American League West,3,True,0,1.000,Seattle Mariners,Seattle,3
1985-04-11,American League East,3,False,3,.000,Cleveland Indians,Cleveland,0
1985-04-11,National League West,3,True,1,.667,Los Angeles Dodgers,Los Angeles,2
1985-04-11,National League West,3,False,2,.333,Houston Astros,Houston,1
1985-04-11,American League East,3,False,3,.000,New York Yankees,NY Yankees,0
1985-04-11,American League East,3,True,0,1.000,Boston Red Sox,Boston,3
1985-04-11,American League East,3,True,0,1.000,Detroit Tigers,Detroit,3
1985-04-11,American League West,3,False,2,.333,Kansas City Royals,Kansas City,1
